title,author,pubdate,play_volume,barrage,classification,likes,coins,collect,share,url
鸡娃，毁掉两代人,圈内师老师,2021-05-18 19:16:34,36.4,2824弹幕,知识&社科人文&知识分享官&生活&社会&教育&学校&鸡娃&早教&商业&青少年&家长,1.5万,4929,6379,4861,https://b23.tv/BV1z64y1d7oS
曹县崛起的秘诀！现在去落户还来得及吗【中国小镇04加更】,厂花蛋蛋姐,2021-05-20 11:30:19,29.3,1631弹幕,汉服&知识&社科人文&知识分享官&中国华服日&社会&商业&山东&曹县&棺材&菏泽&特色小镇,1.6万,2540,1919,1156,https://b23.tv/BV1fo4y1y7EA
提供过中国高铁技术的庞巴迪，遭美国制裁后为啥凉了,科工力量&观察者网,2021-05-20 18:00:06,28.2,1257弹幕,高铁&机械&科普&知识&社科人文&知识分享官&加拿大&科工力量&观察者网&庞巴迪,2.0万,1262,1492,179,https://b23.tv/BV1ry4y1W7Gi
二战最大的傻子----麦克阿瑟【东梦人物志37】,酒痴东梦,2021-05-21 09:55:13,23.8,2609弹幕,历史&美国&知识&社科人文&社会&读书&麦克阿瑟,1.6万,2933,3483,470,https://b23.tv/BV1h54y1L7CD
凉茶卖不出，商标守不住，全员在线大乱斗，中国凉茶是怎么“凉”的？【中国商业史29】上集,冲浪普拉斯,2021-05-21 17:50:29,27.7,2173弹幕,知识&社科人文&知识分享官,1.3万,3792,2409,497,https://b23.tv/BV18f4y1Y7c2
如果你只喝可乐不喝水会怎样？油管5亿播放的科普大神来啦【又见阿诺德】,又见阿诺德,2021-05-19 15:00:00,28.3,378弹幕,生物&健康&科学&科普&知识&科学科普&知识分享官&生命&又见阿诺德,1.7万,1225,2644,1325,https://b23.tv/BV1Rq4y177TS
520如何委婉表白？,正经的知识,2021-05-20 17:37:52,22.4,27弹幕,冷知识&人文&知识&社科人文&趣闻&520&520告白新花样&奇闻&学习&社会&表白&互联网&知识点,1.5万,420,3671,896,https://b23.tv/BV1P84y1F7p2
电子烟能有什么坏心思？它只是想要你的命而已,全球档案馆,2021-05-21 13:23:05,26.9,2131弹幕,科学&科普&知识&社科人文&知识分享官&社会&互联网&尼古丁&电子烟&戒烟,1.2万,5321,4127,4719,https://b23.tv/BV16y4y1W7RD
以色列开战欺人太甚，伊朗复仇核弹上膛，中东大战一触即发？【国际瞭望14】,不良博士,2021-05-19 18:21:12,24.2,2388弹幕,美国&知识&社科人文&知识分享官&希特勒&以色列&特朗普&伊朗&摩萨德&犹太人&巴以冲突&巴勒斯坦,1.3万,2739,2168,463,https://b23.tv/BV17U4y1b73s
国产新剧：把国旗插上火星！感觉非常好,天问一号祝融火星车,2021-05-19 21:15:09,13.8,989弹幕,火星&航天&星海&知识&科学科普&知识分享官&太空&乌托邦平原&发射&祝融&云梦泽&天问一号,1.8万,8044,3416,667,https://b23.tv/BV1JN411Z7FE
【亮记生物鉴定】网络热传生物鉴定29,无穷小亮的科普日常,2021-05-12 21:30:19,429.9,2.5万弹幕,生物&科学&科普&知识&科学科普&奇妙生物大赏&自然,32.6万,5.9万,2.7万,2.0万,https://b23.tv/BV1f64y1C715
中国书报曾只能进口日本汉字活字，直到他们把汉字逐个画出来 - oooooohmygosh,oooooohmygosh&一万也,2021-05-21 18:48:36,9.6,659弹幕,书法&野生技术协会&知识&知识分享官&字体&设计&平面设计&汉字&设计师&工匠&印刷,1.5万,1.0万,4608,807,https://b23.tv/BV1S64y1d7rF
你还去书店买书吗？电商暴击，实体书店开不下去了？言几又西西弗三联书店如何自救？【暗中观察114】IC实验室,IC实验室,2021-05-20 11:35:05,19.5,1364弹幕,财经&知识&社科人文&知识分享官&社会&书店&商业&阅读&电商&网红&实体书店&打卡挑战,1.4万,2927,2611,689,https://b23.tv/BV13U4y1L7re
无人机装64叶螺旋桨还能飞吗？桨叶数量是如何确定的,萌萌战队,2021-05-19 14:26:00,27.5,319弹幕,飞机&科学&知识&科学科普&知识分享官&飞行&原创&创意&物理&自制&奇葩&螺旋桨,1.1万,976,1937,172,https://b23.tv/BV1ao4y1m7CS
只需5分钟，就能把三千字的word做成PPT,大峰PPT,2021-05-18 11:46:26,8.7,40弹幕,职场&知识&野生技术协会&知识分享官&PPT设计&办公&PPT,5202,2926,1.4万,648,https://b23.tv/BV1L44y1r7sz
这个操作你给打多少分？,魔方达人夏天,2021-05-11 15:01:01,262.0,7470弹幕,魔方&知识&野生技术协会&三阶魔方&盲拧,35.2万,5.3万,4.6万,1.8万,https://b23.tv/BV1nb4y1f7A2
【大国角斗】再来亿局能翻盘？中途岛海空大战（日本vs美国）,CRAZY262,2021-05-19 14:54:05,17.0,2422弹幕,美国&日本&知识&社科人文&知识分享官&太平洋战争&二战&航空母舰&飞龙骑脸怎么输&加贺号&企业号&赤城号,1.5万,6211,2998,267,https://b23.tv/BV1Rh411v7de
千万不要说“I don't know”真的是这样吗？,AndrewCap,2021-05-20 17:45:32,23.4,342弹幕,英语口语&歪果仁&考研&英语&考试&知识&校园学习&知识分享官&大学&口语&经验分享&学习心得,1.5万,774,882,88,https://b23.tv/BV1bq4y1E7oN
【与世界说】马龙：乒乓球跟祖国融入了我骨子里,共青团中央,2021-05-20 12:19:08,12.3,697弹幕,马龙&知识&社科人文&点亮繁星计划&艺术,2.5万,2535,1439,765,https://b23.tv/BV17f4y1Y7pZ
悬浮魔术表演现场——当磁流体遇见“超导体”,YouTube精选字幕组,2021-05-07 16:05:00,176.6,1202弹幕,科学&科普&知识&科学科普&物理&实验&量子&材料&物质&超导体&磁流体,2.9万,1062,4817,1545,https://b23.tv/BV14p4y147az
中印边境疑似又爆发突变，解放军边境重兵集结，大规模营房被确认,一号哨所,2021-05-20 19:55:44,28.2,600弹幕,解放军&印度&知识&科学科普&军事&中国&营房,6199,122,278,163,https://b23.tv/BV1t54y1L7UY
真正的民族之光：中国三大运营商是如何收割美国韭菜的？,硬核资本论,2021-05-19 17:58:52,24.3,370弹幕,美股&股票&财经&知识&金融&投资,5663,310,1008,407,https://b23.tv/BV1LK4y1G78L
大家认为有必要通知学校吗？,王世方律师,2021-05-18 17:54:36,38.1,542弹幕,知识&社科人文&学校&普法&学生&嫖娼&大学生&嫖娼被抓,1.3万,212,862,7979,https://b23.tv/BV1JN411Z7Yy
一种烧啥都行的发动机，甚至用冰块也能驱动,方猫boom,2021-05-21 21:41:37,14.7,430弹幕,知识&科学科普&知识分享官&发动机&斯特林发动机&热气机,1.3万,4283,2060,192,https://b23.tv/BV1wA411V7Ca
台湾别酸，滞销1.6亿斤、看徐闻菠萝是怎么逆袭的？| 消费,万能编辑部,2021-05-21 16:52:42,17.4,1411弹幕,人文&知识&社科人文&知识分享官&菠萝&台湾&广东&徐闻&凤梨&菠萝的海,1.5万,3654,1675,456,https://b23.tv/BV1tK4y197y5
【罗翔说爱情】真正的爱是扶级而上的,知行阖壹,2021-05-03 18:22:55,362.1,8977弹幕,罗翔&人文&知识&社科人文&学习&爱情&社会&张三,24.0万,5.9万,15.4万,7.2万,https://b23.tv/BV1Gv41157q3
币圈血崩，马斯克吃饱，深扒币圈残酷的收割逻辑【牛顿】,牛顿顿顿,2021-05-21 18:07:29,17.7,542弹幕,财经&人文&知识&社科人文&知识分享官&科技&社会&商业&互联网&比特币&马斯克&区块链&数字货币,1.1万,1679,1714,786,https://b23.tv/BV1z5411u7N6
"既然提到privilege, 那我就来说说...",英语兔,2021-05-19 19:20:08,11.5,382弹幕,英语学习&英语&知识&校园学习&2021一起学习&词汇&privilege&特权&热点&时事&英语词汇&打卡挑战&既然提到privilege,1.3万,7522,1455,277,https://b23.tv/BV1HV411j7n4
让你看看被封630年的网红到底能妖孽成什么样！,神奇的鲲哥,2021-05-19 18:23:12,23.4,256弹幕,知识&社科人文&打卡挑战,5369,356,411,241,https://b23.tv/BV1YA411g75k
“你给我把他们的电话挂掉！”超勇的啦！一听就是大陆北方的警擦了啦！,江宁婆婆,2021-05-17 18:01:04,46.9,293弹幕,知识&社科人文&大陆&中国&犯罪&案件&互联网,1.5万,186,892,488,https://b23.tv/BV17v411L76i
子弹都打不碎的鲁伯特之泪遇上液压机，会怎样呢？,俄罗斯实验室,2021-05-20 19:36:00,25.8,211弹幕,俄语&俄罗斯&机械&野生技术协会&技术宅&科普&知识&知识分享官&制作&技术&制作过程&经验分享,3002,116,147,8,https://b23.tv/BV1554y1V7ww
《剑风传奇》作者-三浦建太郎去世，官方公告及原因说明,龙崎棒棒糖,2021-05-20 14:40:22,15.8,652弹幕,黑暗之魂&知识&社科人文&游戏知识分享官&烙印战士,9352,1677,1508,1919,https://b23.tv/BV1144y1r7UJ
女生夜晚独自在家失踪成为悬案，34年后真相被意外揭开,X调查,2021-05-21 17:56:53,13.9,1711弹幕,知识&社科人文&知识分享官&推理&悬疑&犯罪&奇闻&惊悚&案件&故事,1.1万,2646,1641,161,https://b23.tv/BV1EK4y1G72b
一位比特币矿工在睡觉时中暑了，他的器官是这样衰竭的,Chubbyemu,2021-05-18 18:30:01,44.7,6514弹幕,4K&科普&知识&科学科普&知识分享官&比特币&医学&Chubbyemu,2.6万,3857,4225,3420,https://b23.tv/BV1w54y1V78y
【科普】我们为什么会有痒这种感觉？,画渣花小烙,2021-05-17 16:07:35,88.7,1646弹幕,冷知识&科普&知识&科学科普&知识分享官&趣闻&身体&花小烙&受体&痒觉,8.8万,1.5万,5400,1217,https://b23.tv/BV1ah411v77U
卖游戏外挂赚2000多万 低调的富豪 每个月上班领3000多工资,陆记杂货铺,2021-05-16 23:43:39,87.0,1698弹幕,知识&社科人文&法制,1.0万,146,1736,4240,https://b23.tv/BV1i64y1C71Y
相差35岁的老少恋网红，被网友扒出20年前竟是“老鸨”和她的小弟？| Wayne调查,Wayne调查,2021-05-19 20:00:04,16.6,1377弹幕,韩国&知识&社科人文&知识分享官&推理&悬疑&奇闻&自制&原创&犯罪&wayne调查&案件,8970,1537,793,262,https://b23.tv/BV16y4y1W7cH
【广州ATC】顺丰货机太沉爬不动，南航头铁跟空管斗气,高中成绩不理想的阿兜,2021-05-18 17:53:10,50.5,412弹幕,航空&飞机&知识&科学科普&空管&广州ATC&广州&ATC&民航,5678,287,1535,1358,https://b23.tv/BV1JK4y1G7Ro
大家好！我是斯坦福心理学教授 菲利普·津巴多,菲利普津巴多-DrZ,2021-05-05 18:00:17,256.8,2669弹幕,心理学&知识&社科人文&知识分享官&犯罪&路西法效应&斯坦福&人文社科,12.1万,2.5万,3.0万,1.0万,https://b23.tv/BV1M64y117kG
"[生物放大镜]""消化""身体成为别人生殖器的恐怖生物|他并不是灯笼鱼!|为了爱成为你身体的一部分|搬运",苏白,2021-05-19 20:49:19,18.8,541弹幕,冷知识&生物&科普&知识&科学科普&趣闻&自然&科普向&动物,5546,170,942,177,https://b23.tv/BV145411u783
现代人穿越到古代真的会变成生化武器吗？,东楼小官人说历史,2021-05-18 10:05:00,22.9,190弹幕,冷知识&历史&人文&知识&社科人文&知识分享官&趣闻&明朝&文化&穿越&干货&清朝&明朝历史&清朝历史,1.3万,88,1005,86,https://b23.tv/BV1ZU4y157fm
为什么自助餐厅不会被吃垮？,缸灿食话,2021-05-19 20:33:20,15.1,36弹幕,吃货&美食&科普&知识&科学科普&知识分享官&吃播&食物&自助餐,1.3万,99,704,44,https://b23.tv/BV1jK4y1G78i
藤壶有多可怕？被吃货当成美食，却能把鲸鱼、海龟折磨得不成样子,科普见闻录,2021-05-19 18:56:37,22.5,230弹幕,生物&科学&科普&知识&科学科普&知识分享官&地球&海洋&自然,2843,25,159,18,https://b23.tv/BV1hq4y1E7uC
为什么在鸡面前画条直线，鸡会晕？,这知识好冷,2020-02-29 13:25:24,264.4,2577弹幕,冷知识&生物&科学&科普&知识&科学科普&趣闻&鸡&知识分享官&动物&趣味科普人文&科学实验&涨知识,8.8万,2746,1.2万,2116,https://b23.tv/BV1sE411H7zn
现实中拍一场爆炸戏，难度究竟有多高？,影视飓风,2021-05-17 19:22:20,60.5,2225弹幕,电影解说&科学&影视杂谈&科普&知识&科学科普&化学&爆炸&高能&碟中谍&摄影摄像&名场面,5.3万,1.9万,6031,1030,https://b23.tv/BV1rQ4y1o7WA
范勇鹏：为了掩盖阶级矛盾，美国把“种族平权”摆上了台面,范勇鹏&观视频工作室,2021-05-21 19:00:16,10.3,532弹幕,历史&美国&知识&社科人文&知识分享官&中国&社会&高考&种族问题&范勇鹏&观视频,1.2万,1795,2255,185,https://b23.tv/BV1cU4y1b72o
